sep=	
time (πηγή1)	data.0	data.1	
0	701	373	
9.998	672	371	
19.991	716	371	
29.986	717	371	
39.979	711	370	
49.975	702	369	
59.975	639	370	
69.969	632	371	
79.961	643	369	
89.952	640	369	
99.947	645	370	
109.948	716	369	
119.938	645	371	
129.934	712	368	
139.926	712	367	
149.927	640	368	
159.92	693	367	
169.922	717	368	
179.921	711	365	
189.916	662	367	
199.907	711	365	
209.904	716	364	
219.901	630	366	
229.9	717	363	
239.892	717	364	
249.88	636	364	
259.877	717	364	
269.874	713	364	
279.869	670	364	
289.862	669	363	
299.85	701	364	
309.847	642	364	
319.843	696	363	
329.842	715	363	
339.835	648	360	
349.832	652	361	
359.828	717	362	
369.822	688	360	
379.819	716	363	
389.811	685	362	
399.806	658	362	
409.798	700	362	
419.792	713	363	
429.788	666	363	
439.786	684	363	
449.783	715	362	
459.774	704	358	
469.771	709	362	
479.759	625	360	
489.76	660	360	
499.754	716	361	
509.753	709	360	
519.75	677	362	
529.751	718	359	
539.749	650	360	
549.745	647	360	
559.741	659	360	
569.738	714	361	
579.729	712	359	
589.725	704	358	
599.722	715	358	
609.719	716	359	
619.714	687	358	
629.717	713	358	
639.717	715	358	
649.714	714	358	
659.708	717	357	
669.707	717	358	
686.426	717	359	
689.701	717	359	
699.695	667	358	
709.695	714	358	
719.693	654	356	
729.693	718	355	
739.702	714	357	
749.703	709	358	
759.696	627	357	
769.694	709	356	
779.688	716	356	
789.687	710	354	
799.685	698	354	
809.71	691	358	
819.685	693	358	
829.679	710	357	
839.681	680	356	
849.681	626	356	
859.676	658	354	
869.671	685	356	
879.669	718	355	
889.665	717	354	
899.666	717	355	
909.722	690	354	
919.648	718	354	
929.643	691	353	
939.641	631	355	
